timestamp,ip,method,endpoint,status_code,response_time_ms,bytes_sent,user_agent,event_type
2026-05-21 09:00:13,192.168.1.135,GET,/api/orders,200,273.58,6069.0,Safari/17.0,normal
2026-05-21 09:00:25,192.168.1.104,POST,/login,200,215.67,5492.21,Chrome/120.0,normal
2026-05-21 09:00:28,192.168.1.161,GET,/dashboard,200,233.91,3321.16,Mozilla/5.0,normal
2026-05-21 09:00:35,192.168.1.137,GET,/settings,201,95.3,5923.96,Chrome/120.0,normal
2026-05-21 09:00:35,192.168.1.232,GET,/,200,266.33,3379.28,curl/8.0,normal
2026-05-21 09:00:42,192.168.1.102,POST,/login,200,165.72,4831.92,Chrome/120.0,normal
2026-05-21 09:00:43,192.168.1.66,POST,/api/orders,200,126.83,6005.62,Mozilla/5.0,normal
2026-05-21 09:00:54,192.168.1.106,POST,/settings,200,76.53,4080.75,Chrome/120.0,normal
2026-05-21 09:00:55,192.168.1.103,POST,/dashboard,401,149.71,6347.12,Chrome/120.0,normal
2026-05-21 09:00:58,192.168.1.52,POST,/settings,200,165.9,6973.05,Chrome/120.0,normal
2026-05-21 09:01:06,192.168.1.134,GET,/api/orders,200,47.21,4855.88,Mozilla/5.0,normal
2026-05-21 09:01:09,192.168.1.199,POST,/dashboard,401,194.71,3308.33,curl/8.0,normal
2026-05-21 09:01:14,192.168.1.198,POST,/api/users,201,205.56,2948.85,Chrome/120.0,normal
2026-05-21 09:01:16,192.168.1.4,POST,/settings,401,253.13,4867.58,Chrome/120.0,normal
2026-05-21 09:01:21,192.168.1.20,GET,/dashboard,201,227.2,6428.9,Safari/17.0,normal
2026-05-21 09:01:26,192.168.1.27,GET,/dashboard,200,88.37,4735.95,Chrome/120.0,normal
2026-05-21 09:01:31,192.168.1.143,GET,/api/orders,200,274.28,5072.39,Mozilla/5.0,normal
2026-05-21 09:01:32,192.168.1.165,POST,/login,200,233.86,5593.96,Safari/17.0,normal
2026-05-21 09:01:38,192.168.1.101,POST,/login,200,149.09,3849.87,Safari/17.0,normal
2026-05-21 09:01:52,192.168.1.89,GET,/settings,200,118.16,5274.86,Chrome/120.0,normal
2026-05-21 09:01:54,192.168.1.69,GET,/api/orders,200,131.26,2753.2,curl/8.0,normal
2026-05-21 09:01:55,192.168.1.190,POST,/dashboard,201,181.99,3944.99,curl/8.0,normal
2026-05-21 09:02:05,192.168.1.186,POST,/login,404,207.12,4874.19,Safari/17.0,normal
2026-05-21 09:02:08,192.168.1.55,GET,/api/orders,400,163.62,3333.29,Mozilla/5.0,normal
